bbox,cessation,country_id,deprecated,file_hash,fullname,geom_hash,geom_latitude,geom_longitude,id,inception,iso,iso_country,lastmodified,lbl_latitude,lbl_longitude,locality_id,name,parent_id,path,placetype,region_id,source,superseded_by,supersedes,wof_country
"-78.191396,42.782488,-78.074002,42.870336",uuuu,85633793,,331354e5b25d0f408af1a298348934e6,,1c39f7ac83f8dbe0f8f2d40010a07dbe,42.826530,-78.132308,404523001,uuuu,US,US,1479863899,42.826305,-78.132307,0,Middlebury,102082389,404/523/001/404523001.geojson,localadmin,85688543,quattroshapes,,,US
"-77.841573,42.565594,-77.720557,42.661678",uuuu,85633793,,049c82452a0c23d53c76813db404269f,,47d15ecd7660456920d7deb615fa08eb,42.610487,-77.789237,404522003,uuuu,US,US,1479850041,42.614292,-77.795275,0,West Sparta,102082381,404/522/003/404522003.geojson,localadmin,85688543,quattroshapes,,,US
"-78.074265,42.713331,-77.95503,42.801786",uuuu,85633793,,e4cf02169b643ec202bab012e995ad3d,,42dcbb7cb74508e055c631363e9e71ec,42.757347,-78.014836,404523003,uuuu,US,US,1479850041,42.757494,-78.014836,0,Perry,102082389,404/523/003/404523003.geojson,localadmin,85688543,quattroshapes,,,US
"-78.190822,42.521135,-78.088582,42.608979",uuuu,85633793,,b669c6660a555694ccb90d95a8a2d769,,dae2951c55efe3327d3ca946de0668c2,42.565144,-78.139636,404523005,uuuu,US,US,1479849218,42.565107,-78.139636,0,Pike,102082389,404/523/005/404523005.geojson,localadmin,85688543,quattroshapes,,,US
"-77.95553,42.804553,-77.780294,42.919434",uuuu,85633793,,d1d585accd47f753d49b96d849e20f05,,43f39fd8292cc1b5a3c165258f1ddac1,42.866434,-77.886919,404522005,uuuu,US,US,1479863898,42.864167,-77.902791,0,York,102082381,404/522/005/404522005.geojson,localadmin,85688543,quattroshapes,,,US
"-77.11439,42.483771,-76.989329,42.578792",uuuu,85633793,,5568a067c553de2a75b33529eb4e0ffe,,bfdbc6d969f83865004386f1429ca855,42.529776,-77.048743,404523013,uuuu,US,US,1479864237,42.531380,-77.048751,0,Barrington,102083079,404/523/013/404523013.geojson,localadmin,85688543,quattroshapes,,,US
"-77.123218,42.668392,-76.942945,42.76443",uuuu,85633793,,bbccce5dd83dba5c46ed5013c9622fa0,,04a6d495295ecfc1ba0cbcaff080d82a,42.722394,-77.051840,404523015,uuuu,US,US,1479864190,42.716452,-77.062588,0,Benton,102083079,404/523/015/404523015.geojson,localadmin,85688543,quattroshapes,,,US
"-75.437167,42.738111,-75.239547,42.871669",uuuu,85633793,,2a60c9599bd60b81d55b89accd085d0a,,009420f05e20d2cf7674c32360da9151,42.807849,-75.343545,404522007,uuuu,US,US,1479902118,42.804771,-75.343568,0,Brookfield,102080989,404/522/007/404522007.geojson,localadmin,85688543,quattroshapes,,,US
"-77.244057,42.494279,-77.063767,42.669616",uuuu,85633793,,40ab71fecb2abd40e41dde9fdd052788,,c52bd640c75717d68a0e0031dea60a11,42.609048,-77.154830,404523017,uuuu,US,US,1479864237,42.623087,-77.154828,0,Jerusalem,102083079,404/523/017/404523017.geojson,localadmin,85688543,quattroshapes,,,US
"-75.911541,42.825779,-75.810492,43.006851",uuuu,85633793,,591034b213a40b1d6cd9a4eba5828e44,,dcb4eabfd9b7cca5017a4c80f91acc0a,42.912196,-75.863603,404522009,uuuu,US,US,1479902117,42.911266,-75.862636,0,Cazenovia,102080989,404/522/009/404522009.geojson,localadmin,85688543,quattroshapes,,,US
"-77.357355,42.669025,-77.233214,42.761399",uuuu,85633793,,c90897ceb130110ac6497c072ba18f8a,,e7c4a8b5d241725f3c414395b847e5a1,42.713323,-77.290889,404523019,uuuu,US,US,1479864190,42.715173,-77.290889,0,Middlesex,102083079,404/523/019/404523019.geojson,localadmin,85688543,quattroshapes,,,US
"-75.697008,42.829174,-75.559655,42.931592",uuuu,85633793,,5700c2a25fe406f1cb78796af5704bcf,,fac1c93ddd23d2cf8ecb2f6ddea787dd,42.881389,-75.628969,404522011,uuuu,US,US,1479902119,42.881354,-75.628995,0,Eaton,102080989,404/522/011/404522011.geojson,localadmin,85688543,quattroshapes,,,US
"-77.092338,42.577626,-76.894061,42.669916",uuuu,85633793,,73b56424d702e17239240c5a7ba2b0e2,,175567ba61b4eaa9158b9576caa16474,42.615019,-77.003099,404523021,uuuu,US,US,1479864190,42.624094,-77.024815,0,Milo,102083079,404/523/021/404523021.geojson,localadmin,85688543,quattroshapes,,,US
"-76.996018,42.459186,-76.889805,42.578933",uuuu,85633793,,dfb02f11e9dff3350c360cee0e0f72e8,,02e3c8461143a0cf800484ea116af908,42.521294,-76.944154,404523023,uuuu,US,US,1479864190,42.521656,-76.944863,0,Starkey,102083079,404/523/023/404523023.geojson,localadmin,85688543,quattroshapes,,,US
"-76.03027,43.698285,-75.904245,43.802669",uuuu,85633793,,11b918b96fd77b5d1d1e16adb4ed701f,,177075183a1f1a42e8d600adae239f80,43.749716,-75.968345,404523029,uuuu,US,US,1479862833,43.749855,-75.968345,0,Lorraine,102082357,404/523/029/404523029.geojson,localadmin,85688543,quattroshapes,,,US
"-76.60082,42.906603,-76.536915,42.959268",uuuu,85633793,,975916cc9449b000b95b9352d27f1da0,,4f914d3d79ad62851c2601c1dccb627f,42.933825,-76.568477,404523031,uuuu,US,US,1479865479,42.932507,-76.572279,0,Auburn,102083071,404/523/031/404523031.geojson,localadmin,85688543,quattroshapes,,,US
"-75.848581,42.931175,-75.718559,43.007532",uuuu,85633793,,865cd057bd5fa41290a5fd63c1734c1e,,afef1bdaa37d39fc6fecf23619c03c8c,42.970933,-75.777445,404522013,uuuu,US,US,1479902117,42.969320,-75.777443,0,Fenner,102080989,404/522/013/404522013.geojson,localadmin,85688543,quattroshapes,,,US
"-76.715714,43.059417,-76.587984,43.167149",uuuu,85633793,,3e7a26ec8dd044c8e499c4b5b24ba576,,f66250f2aea0c18dbeaa37db93182a75,43.118742,-76.649709,404522021,uuuu,US,US,1479865478,43.123634,-76.650925,0,Conquest,102083071,404/522/021/404522021.geojson,localadmin,85688543,quattroshapes,,,US
"-76.635186,42.836295,-76.515348,42.911594",uuuu,85633793,,e464f19bdce5c0362bd5dc12f590a432,,cc0b6be66781c6b17c44ed0766d43a0a,42.870015,-76.577828,404522023,uuuu,US,US,1479865479,42.875005,-76.565858,0,Fleming,102083071,404/522/023/404522023.geojson,localadmin,85688543,quattroshapes,,,US
"-76.737975,42.961286,-76.662067,43.07015",uuuu,85633793,,982c20f7a9141c81c7da2deb6c7f024e,,5cc77e06078fb4d39f84ea17f51fa8ff,43.012224,-76.694944,404522031,uuuu,US,US,1479865478,43.002506,-76.691871,0,Montezuma,102083071,404/522/031/404522031.geojson,localadmin,85688543,quattroshapes,,,US
"-76.481906,42.691777,-76.367572,42.782356",uuuu,85633793,,65b264cc5a1aa6b0681ed21e4850b008,,baff583094d41c7ef51b6a9cc073ce70,42.737804,-76.418826,404522033,uuuu,US,US,1479865479,42.736712,-76.418824,0,Moravia,102083071,404/522/033/404522033.geojson,localadmin,85688543,quattroshapes,,,US
"-74.689482,44.875391,-74.499745,44.978868",uuuu,85633793,,330fb67dc30f9f907a7da14e0b1e6937,,8456178de0c4a65f1ac2b29fffdbd632,44.920223,-74.579442,404523035,uuuu,US,US,1479862980,44.915622,-74.579446,0,Bombay,102081817,404/523/035/404523035.geojson,localadmin,85688543,quattroshapes,,,US
