bbox,cessation,country_id,deprecated,file_hash,fullname,geom_hash,geom_latitude,geom_longitude,id,inception,iso,iso_country,lastmodified,lbl_latitude,lbl_longitude,locality_id,name,parent_id,path,placetype,region_id,source,superseded_by,supersedes,wof_country
"-73.89919434249992,40.79563587285366,-73.89678526341241,40.79711653214714",uuuu,85633793,,7c3348a00b99d185ef32df519ab46ad0,,0e88375ab18d015232709d0cb97dc9eb,40.796342,-73.897825,907131629,uuuu,US,US,1491257141,40.796369,-73.897829,85977539,South Brother Island,907157033,907/131/629/907131629.geojson,neighbourhood,85688543,pedia,,,US
"-73.84731906708886,40.57420036946357,-73.81640858005161,40.58790294566722",uuuu,85633793,,4861335465fc4e51a1e931bb2e45c8df,,242f31ef410f284fc61c3533b60e62f8,40.581279,-73.831895,907131633,uuuu,US,US,1491257224,40.581128,-73.831897,85977539,Rockaway Park,907157757,907/131/633/907131633.geojson,neighbourhood,85688543,pedia,,,US
"-74.14199943269331,40.56345336238953,-74.12131498580291,40.5758600141973",uuuu,85633793,,ed13028ccca2802b3da68e9b1630d7bc,,5be50928a90154f9e09bcfd4d893b790,40.570337,-74.131356,907131635,uuuu,US,US,1491425479,40.569397,-74.131493,85977539,Richmond Town,421205775,907/131/635/907131635.geojson,neighbourhood,85688543,pedia,,85869625,US
"-73.93607064617005,40.78092032004226,-73.913783853706,40.80199852274346",uuuu,85633793,,c52c48d18f4bbefc864f2709f602d5a5,,3168628a3a2954e1072bb7f61c459b4b,40.791000,-73.924596,907131637,uuuu,US,US,1491257189,40.794599,-73.921647,85977539,Randall's Island,421205771,907/131/637/907131637.geojson,neighbourhood,85688543,pedia,,,US
"-73.9002100499315,40.7991011646215,-73.89646668834581,40.80241282094028",uuuu,85633793,,ac054123f6bd91fb48fc8786773bf2df,,ad781b512964280b55bbc484ca9aedf4,40.800679,-73.898452,907131673,uuuu,US,US,1491257141,40.800650,-73.898423,85977539,North Brother Island,907157033,907/131/673/907131673.geojson,neighbourhood,85688543,pedia,,,US
"-73.914199,40.84456800678856,-73.90009700000019,40.85381600000017",uuuu,85633793,,3a8e3fbb04656538e1d10c9a2df9f23e,,0ad4d9b3fd680df7409facd9b3bf6393,40.848486,-73.906570,907131675,uuuu,US,US,1491257140,40.849074,-73.905999,85977539,Mount Hope,907157033,907/131/675/907131675.geojson,neighbourhood,85688543,pedia,,,US
"-74.169835,40.56665,-74.11131,40.602137",uuuu,85633793,,215a64f25fff9411f2e23f3e6a345bbe,,7b9c9a206c2d2d00dee26922f9f3d6e8,40.584441,-74.137572,907131687,uuuu,US,US,1491257178,40.590933,-74.128268,85977539,Latourette Park,421205775,907/131/687/907131687.geojson,neighbourhood,85688543,pedia,,,US
"-73.88945486903738,40.76272137770127,-73.85505106271822,40.78745866181838",uuuu,85633793,,dd8b67ed2b8997411e4c80ff7e9d4882,,130119c0cf6ccae18e191ea10889782d,40.774610,-73.873239,907131689,uuuu,US,US,1491257220,40.776986,-73.874930,85977539,LaGuardia Airport District,421205767,907/131/689/907131689.geojson,neighbourhood,85688543,pedia,,,US
"-73.83264,40.61923384698477,-73.74739724711952,40.66536800000016",uuuu,85633793,,8b2f4735117bda5275a1822fd60ed427,,dc01c4ebe0f28fa0ff03b07b16aceebb,40.646937,-73.786562,907131691,uuuu,US,US,1491257219,40.647036,-73.782345,85977539,John F. Kennedy International Airport District,421205767,907/131/691/907131691.geojson,neighbourhood,85688543,pedia,,,US
"-73.87967970590749,40.59607576435415,-73.83623731597845,40.6328397329561",uuuu,85633793,,f0a7c0f643a8360a863e91670f38dfed,,4870b6187cdd110ba125854b88babe64,40.616035,-73.855977,907131701,uuuu,US,US,1489183668,40.624633,-73.855564,85977539,Jamaica Bay,421205765,907/131/701/907131701.geojson,neighbourhood,85688543,pedia,,,US
"-74.05489778210804,40.577116445239,-74.05293190639817,40.58054875961447",uuuu,85633793,,7186eede0c2a75c0c1cef15fe4acf15b,,07c6537cf7fc02381584b49b61ffd659,40.578852,-74.053917,907131729,uuuu,US,US,1491257183,40.578885,-74.053899,85977539,Hoffman Island,421205775,907/131/729/907131729.geojson,neighbourhood,85688543,pedia,,,US
"-73.77296793744169,40.84509904236184,-73.76533243995296,40.86010013510032",uuuu,85633793,,9375f7d07ddc8a6283a19e135248cc20,,9402cb20b76123e5290805ec2e26976d,40.853792,-73.769984,907131731,uuuu,US,US,1491257140,40.855336,-73.769927,85977539,Hart Island,907157027,907/131/731/907131731.geojson,neighbourhood,85688543,pedia,,,US
"-74.00214,40.64412248947837,-73.98036,40.65966900000015",uuuu,85633793,,780d4218f745cf3c19e9856f7ab74a6a,,45036f1c4e9e1464d7e7657860c82710,40.652117,-73.990235,907131737,uuuu,US,US,1489183681,40.651453,-73.988939,85977539,Green-Wood Cemetery,421205765,907/131/737/907131737.geojson,neighbourhood,85688543,pedia,,,US
"-74.14061092703122,40.52928191888272,-74.11359617405465,40.55729500000015",uuuu,85633793,,a2b55b6112e5d07251264f7786ddd943,,c2c9c79697d86d9dedaba58259c7bb1f,40.545770,-74.128532,907131739,uuuu,US,US,1491257178,40.549913,-74.126070,85977539,Great Kills Park,421205775,907/131/739/907131739.geojson,neighbourhood,85688543,pedia,,,US
"-74.02662819083872,40.68291694544506,-74.01175097032227,40.69334336821768",uuuu,85633793,,54fd40653687994a69760166d04ecd94,,b1505a2cdc85515a4f9ed220240d6e94,40.688781,-74.019073,907131741,uuuu,US,US,1491257189,40.689260,-74.018968,85977539,Governors Island,421205771,907/131/741/907131741.geojson,neighbourhood,85688543,pedia,,,US
"-73.905713666183,40.67954702042783,-73.83409514588713,40.71182793782896",uuuu,85633793,,e307775c66d2cc36443ac258d6bf2bec,,ac776cce8015830ef99bce18fd8811c9,40.695393,-73.873912,907131745,uuuu,US,US,1491257224,40.694910,-73.876332,85977539,Forest Park,421205767,907/131/745/907131745.geojson,neighbourhood,85688543,pedia,,,US
"-73.84043199540963,40.80493825599336,-73.82319458612363,40.82180234001071",uuuu,85633793,,941c94a6b7b0e3133825f921dee2c946,,5fa9c59fb820ffc95b120f2b2e1877a8,40.813623,-73.832671,907131749,uuuu,US,US,1491257141,40.813818,-73.832804,85977539,Ferry Point Park,907157031,907/131/749/907131749.geojson,neighbourhood,85688543,pedia,,,US
"-74.04367371230788,40.69645297163981,-74.03771124796641,40.70089063064275",uuuu,85633793,,8bd5879eebd27be33bdbf4eea80d0b2c,,5ac133f0df568639cc9de430544da869,40.698769,-74.040768,907131755,uuuu,US,US,1491257188,40.697974,-74.041966,85977539,Ellis Island,421205771,907/131/755/907131755.geojson,neighbourhood,85688543,pedia,,,US
"-73.77804522625279,40.72234814406397,-73.75389518892261,40.74552567327869",uuuu,85633793,,08049c63785be1bd1968d97335d68b95,,7148f5b8b859faba86a3dba1eba7efd5,40.733158,-73.768151,907131763,uuuu,US,US,1491257225,40.738376,-73.768334,85977539,Cunningham Park,421205767,907/131/763/907131763.geojson,neighbourhood,85688543,pedia,,,US
"-73.901212,40.83436059017767,-73.88839512709797,40.84366432725704",uuuu,85633793,,3a7148d1311a8ef54f0d05d638d71a73,,833d16c172dd75d9301cb2c9be4ab114,40.838568,-73.895212,907131765,uuuu,US,US,1491257140,40.839093,-73.895309,85977539,Crotona Park,907157033,907/131/765/907131765.geojson,neighbourhood,85688543,pedia,,,US
"-73.927313,40.81806600000029,-73.90706935748577,40.83653225773887",uuuu,85633793,,fe46fc067d94ed93b19fae320d7e5ef2,,46506f9e0312056ce161f536abcb87ca,40.828597,-73.916982,907131769,uuuu,US,US,1491424933,40.828049,-73.918778,85977539,East Concourse,907157033,907/131/769/907131769.geojson,neighbourhood,85688543,pedia,,85892773,US
"-73.75023600000013,40.68187100000031,-73.72579787942315,40.70353238806987",uuuu,85633793,,e8def489800a33a0983491ca08471fa5,,2d3e8e41cfe068ffe2ef2a4e422c3385,40.693232,-73.736818,907131773,uuuu,US,US,1491257223,40.694024,-73.735829,85977539,Cambria Heights,421205767,907/131/773/907131773.geojson,neighbourhood,85688543,pedia,,,US
"-73.88389611832324,40.84155566967261,-73.868235,40.87851345207953",uuuu,85633793,,13a42fe2768d3cfa72386d601d05dc0f,,fa594447b45172f53530688f63ae3a41,40.857724,-73.875449,907131775,uuuu,US,US,1491257140,40.851711,-73.875331,85977539,Bronx Park,907157027,907/131/775/907131775.geojson,neighbourhood,85688543,pedia,,,US
"-73.77417184679732,40.596261,-73.75345800523034,40.61425465545025",uuuu,85633793,,ee0a5115e193dec7d5653f210072c328,,1aa6c62997d85548f679fba6698e1f9a,40.606072,-73.764286,907131779,uuuu,US,US,1491257218,40.604839,-73.764439,85977539,Bayswater,907157757,907/131/779/907131779.geojson,neighbourhood,85688543,pedia,,,US
"-73.76166298825709,40.73811685253422,-73.73320750206187,40.76422564990765",uuuu,85633793,,937de303ed1959bb00b7e58e3b6e7acd,,b832e1a91a0fb32f5c2655d99c1aea5c,40.750262,-73.744513,907131783,uuuu,US,US,1491257219,40.743511,-73.739770,85977539,Alley Pond Park,421205767,907/131/783/907131783.geojson,neighbourhood,85688543,pedia,,,US
"-73.997737,40.671475,-73.982389,40.686101",uuuu,85633793,,cb3ac28a79dbb430e6554a1015e4e214,,c81fa881c9a62abffa654e11ef496dc1,40.678923,-73.990374,102061079,2012,US,US,1491425183,40.682373,-73.987939,85977539,Gowanus Heights,421205765,102/061/079/102061079.geojson,neighbourhood,85688543,woedb,,,US
"-75.42461634367177,43.19317374925012,-75.40152954099986,43.22918819065008",uuuu,85633793,,2b9518d50a5cc127a39c30ca80117dae,,d3acb3cab598e73a0b8cc58fd4c3741a,43.210852,-75.412934,85802521,uuuu,US,US,1467245125,43.212088,-75.414244,85978369,Air City,85978369,858/025/21/85802521.geojson,neighbourhood,85688543,quattroshapes,,,US
"-78.569109,42.897167,-78.493919,42.922083",uuuu,85633793,,8fae0f61f835e7cfca61ad182897b118,,ce185832272e9f1cfafd17b6e743996c,42.909811,-78.530433,85802617,uuuu,US,US,1467244083,42.907816,-78.526052,0,Alden Center,-1,858/026/17/85802617.geojson,neighbourhood,85688543,zetashapes,,,US
"-75.77446533204989,42.99263849115007,-75.74897216794972,43.01665563315014",uuuu,85633793,,477eb1b8f0c88630399f73b2b78ec415,,8d1a141d2074dab9e1b883031557ca4a,43.004647,-75.761719,85802659,uuuu,US,US,1467244809,43.004648,-75.761719,0,Alene,-1,858/026/59/85802659.geojson,neighbourhood,85688543,quattroshapes,,,US
"-74.220739,41.756587,-74.153992,41.824948",uuuu,85633793,,b49c790e63c138f57c85421cd6c7ed8d,,d33f677af036a412b392412907daa667,41.795392,-74.187086,85802851,uuuu,US,US,1466784196,41.790627,-74.185934,0,Alligerville,-1,858/028/51/85802851.geojson,neighbourhood,85688543,zetashapes,,,US
"-73.95791,42.127293,-73.885485,42.2039",uuuu,85633793,,c55afafd4772b8a6d939d796ded6e2d1,,660e6b78824a6b3e6dec3ed2d64f8e2d,42.167596,-73.920284,85802909,uuuu,US,US,1467245188,42.170990,-73.918262,0,Alsen,-1,858/029/09/85802909.geojson,neighbourhood,85688543,zetashapes,,,US
"-76.281862,43.054419,-76.260753,43.083772",uuuu,85633793,,d3c49a8d52847a0d4089a89654423b06,,8adde4d4a9e44c65bba466033530415a,43.070318,-76.272192,85802997,uuuu,US,US,1467183396,43.060332,-76.271209,0,Amboy,-1,858/029/97/85802997.geojson,neighbourhood,85688543,zetashapes,,,US
"-74.474513,41.247113,-74.411914,41.282264",uuuu,85633793,,3f9372a65216032f3b6e07426bfeeb44,,5a3e0772dbdf8c00cd0c19da4959bee9,41.267376,-74.446843,85803035,uuuu,US,US,1466784198,41.271409,-74.451599,0,Amity,-1,858/030/35/85803035.geojson,neighbourhood,85688543,zetashapes,,,US
"-79.07585693359982,42.63406111380002,-79.05036376955002,42.67022158045009",uuuu,85633793,,8a9f0d43229faef6d888b56f33631d55,,c20ea23fa88126bcd0cba071c31e5357,42.653358,-79.061797,85803151,uuuu,US,US,1466784200,42.653598,-79.060764,85979441,Angola-on-the-Lake,85979441,858/031/51/85803151.geojson,neighbourhood,85688543,quattroshapes,,,US
"-77.057181,42.683737,-76.942945,42.76443",uuuu,85633793,,468de51fcafcd7d87dde9cc197bfe559,,8db0d0f94704adf7ab257d268d6a512b,42.734697,-76.995036,85803159,uuuu,US,US,1466784200,42.737638,-76.972235,0,Angus,-1,858/031/59/85803159.geojson,neighbourhood,85688543,zetashapes,,,US
"-76.069759,42.815789,-76.039253,42.853055",uuuu,85633793,,7d0678ad9b2e9a6da17e29d62a81d138,,8fa943950d37e2ac385924ee3865846f,42.834123,-76.052318,85803311,uuuu,US,US,1467183397,42.829651,-76.048279,0,Apulia,-1,858/033/11/85803311.geojson,neighbourhood,85688543,zetashapes,,,US
"-73.896756,42.822802,-73.843507,42.885737",uuuu,85633793,,a44cb53b9485127db7f3822f8a5aaf41,,02904b0171d76eb108de739cbecc0ffd,42.858331,-73.867505,85803315,uuuu,US,US,1467243858,42.850344,-73.889657,0,Aqueduct,-1,858/033/15/85803315.geojson,neighbourhood,85688543,zetashapes,,,US
"-73.891417,41.099025,-73.842413,41.135839",uuuu,85633793,,51cbc2b1d3cf776527849c2342e5f0f7,,5d90dd12ace8d22873ff182ea285c6b9,41.117895,-73.864768,85803383,uuuu,US,US,1467244703,41.117265,-73.860997,0,Archville,-1,858/033/83/85803383.geojson,neighbourhood,85688543,zetashapes,,,US
"-74.16146036005318,40.64141652579018,-74.15743349201007,40.64429496976491",uuuu,85633793,,27f04c847ce36cfb33ecec4010a052af,,5d5ac40c15274ba47ff5b5cb89f38489,40.642948,-74.159747,85803519,uuuu,US,US,1491425149,40.642834,-74.159317,85977539,Arlington,421205775,858/035/19/85803519.geojson,neighbourhood,85688543,pedia,,,US
"-78.812772,42.709835,-78.76888,42.755311",uuuu,85633793,,bafc472cc8e657e0513154887d116424,,0b95b2e7646c65888644f7f5419d4473,42.735793,-78.790907,85803583,uuuu,US,US,1467245250,42.734774,-78.795471,0,Armor,-1,858/035/83/85803583.geojson,neighbourhood,85688543,zetashapes,,,US
"-77.666732,43.138677,-77.634108,43.157379",uuuu,85633793,,f77aeb6ebea6325177147e195c5c9631,,1a2dca7de2d0e1b7a19bf693d6531b8f,43.148052,-77.650763,85803599,uuuu,US,US,1467242638,43.148385,-77.654872,85977591,Arnett,85977591,858/035/99/85803599.geojson,neighbourhood,85688543,zetashapes,,,US
"-74.085875,40.58465129533441,-74.06077989345394,40.60018300000027",uuuu,85633793,,0b9ed47c11d3688218f980b492e552d7,,b069c1ebd44b7e0a65d58fd29fcfe7e1,40.593187,-74.072182,85803627,uuuu,US,US,1491425149,40.593479,-74.071079,85977539,Arrochar,421205775,858/036/27/85803627.geojson,neighbourhood,85688543,pedia,,,US
"-73.80804688683978,40.58600800000013,-73.78538897143099,40.60325551557715",uuuu,85633793,,d305df91b337c196ec9f2fe35cb1b950,,1feef1fb1adbb5a0fe52b30d9d297703,40.593379,-73.795492,85803679,uuuu,US,US,1491425149,40.590683,-73.793567,85977539,Arverne,907157757,858/036/79/85803679.geojson,neighbourhood,85688543,pedia,,,US
"-76.537885,42.49711,-76.428726,42.550886",uuuu,85633793,,343798507ff8dedb5f8eb119d8a80a47,,e36065b08e326b3c716397cf0b967a62,42.518344,-76.487339,85803681,uuuu,US,US,1467183398,42.518710,-76.501053,0,Asbury,-1,858/036/81/85803681.geojson,neighbourhood,85688543,zetashapes,,,US
"-77.827624,42.884476,-77.725166,42.96766",uuuu,85633793,,1f65ba89b86fec3e2920f77dcb4efc6d,,6e06c5efcfc93f7c674e4641b94c8be6,42.922877,-77.778630,85803711,uuuu,US,US,1466784206,42.908107,-77.753969,85978303,Ashantee,85978303,858/037/11/85803711.geojson,neighbourhood,85688543,zetashapes,,,US
"-78.711155,42.379627,-78.6479,42.454293",uuuu,85633793,,c5e151b6d401c0fc04a30f81356fa256,,c1a0ba6fd2e17f18f258b8b385c2536c,42.408311,-78.679484,85803725,uuuu,US,US,1467243690,42.408248,-78.686142,0,Ashford Hollow,-1,858/037/25/85803725.geojson,neighbourhood,85688543,zetashapes,,,US
"-74.273701,41.932955,-74.159973,42.013939",uuuu,85633793,,33c8b93b36fe75cc9f62e2940c0491af,,9cfa3777174643b2b91d998b67e4835d,41.974292,-74.218090,85803779,uuuu,US,US,1467244640,41.970249,-74.206412,85978903,Ashokan,85978903,858/037/79/85803779.geojson,neighbourhood,85688543,zetashapes,,,US
